name,url,country,province,thumbnail,average_tuition,average_tuition_currency,logo,type,Number of Students,International Students,University Type,Number of Academician,Erasmus,Scholarship Ratio,Urap Standings,Placement Rate,Technology Office,Student/Academician,Entrepreneurship Index Score,Library Area,Ar-Ge Expense,programs,features,address
İstanbul Okan University,https://univerlist.com/istanbul-okan-university/,Turkey,İstanbul,https://univerlist.com/media/cache/2f/40/2f40388d59a7165b50b7619489c0d6d8.webp,"2,839,936",TRY,https://univerlist.com/media/cache/7e/a3/7ea39875fe0eb6bff6d2d1cf913cf033.webp,Private,17.167,2.308,Private,783.0,Yes,16%,130.0,%51.07,Yes,27.0,,4851.0,"21.119.734,9 ₺","[{'program_name': 'Aircraft Technology(50%Discount)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Aircraft Technology(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Anaesthesia(50%Discount)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Anaesthesia(paid)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Anaesthesia(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Architectural Restoration(50%Discount)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Architectural Restoration(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Architecture(50%Discount)', 'language': 'Turkish', 'year': '4', 'tuition': ''}]","[""Amphitheatre"", ""Bank"", ""Car Park"", ""In-campus Transportation"", ""Cinema"", ""Security"", ""Virtual Court"", ""Unobstructed Campus"", ""Swimming Pool"", ""Health Center"", ""Refectory"", ""Copy Center"", ""Conference Hall"", ""Dormitory"", ""Gym"", ""Tennis Court"", ""Film Studio"", ""Dance Hall"", ""Cafeteria"", ""Library"", ""Supermarket""]","Tepeören Mahallesi, Tuzla Kampüsü, İstanbul Okan Üniversitesi, 34959 Tuzla/İstanbul"
Yaşar University,https://univerlist.com/yasar-university/,Turkey,İzmir,https://univerlist.com/media/cache/d1/1d/d11dd29d4af5492ef6451f85456bb8a4.webp,"3,123,930",TRY,https://univerlist.com/media/cache/29/d5/29d5dd494cbc1cb4d445542a30da085d.webp,Private,8.679,272.0,Private,447.0,Yes,15%,98.0,%99.0,No,22.0,48.52,1200.0,"4.835.262,5 ₺","[{'program_name': 'Agricultural Economics', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Agricultural Machinery and Technologies Engineering', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Architectural Restoration(25%Discount)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Architectural Restoration(paid)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Architectural Restoration(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Architecture(in English)(50%Discount)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Architecture(in English)(scholarship)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Banking and Insurance(50%Discount)', 'language': 'Turkish', 'year': '2', 'tuition': ''}]","[""Amphitheatre"", ""Bank"", ""Cinema"", ""Music Studio"", ""Security"", ""Virtual Court"", ""Unobstructed Campus"", ""Health Center"", ""Refectory"", ""Copy Center"", ""Conference Hall"", ""Dormitory"", ""Strategy Games Room"", ""Radio Studio"", ""Gym"", ""Film Studio"", ""Dance Hall"", ""Cafeteria"", ""Bikes on Campus"", ""Library"", ""IT Transportation Office"", ""Incubation Centre""]","Kazımdirik Mahallesi, Selçuk Yaşar Kampüsü, Üniversite Caddesi Ağaçlı Yol No: 37-39, 35100 Bornova/İzmir"
İstanbul Kültür University,https://univerlist.com/istanbul-kultur-university/,Turkey,İstanbul,https://univerlist.com/media/cache/35/2d/352d055b60ca4c9773f48a85703ebf6c.webp,"246,200",USD,https://univerlist.com/media/cache/86/b7/86b7daae9d6d6f86fcda99f8b527ab36.webp,Private,18.551,883.0,Private,,Yes,"15,79%",161.0,%66.67,Yes,39.0,,4308.0,91.179.235₺,"[{'program_name': 'Air Conditioning and Refrigeration Technology(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Air Logistics(50%Discount)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Air Logistics(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Aircraft Technology(50%Discount)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Aircraft Technology(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Alternative Energy Resources Technology(50%Discount)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Alternative Energy Resources Technology(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Architecture(in English)(50%Discount)', 'language': 'English', 'year': '4', 'tuition': ''}]","[""Bank"", ""Car Park"", ""In-campus Transportation"", ""Cinema"", ""Music Studio"", ""Starbucks"", ""Security"", ""Virtual Court"", ""Unobstructed Campus"", ""Health Center"", ""Drawing Centre"", ""Refectory"", ""Copy Center"", ""Conference Hall"", ""Dormitory"", ""Hairdresser"", ""Radio Studio"", ""Gym"", ""Tennis Court"", ""Film Studio"", ""Dance Hall"", ""Cafeteria"", ""Art Center"", ""Library"", ""Computer Laboratories"", ""Fashion Design"", ""E-Campus""]","Ataköy 7-8-9-10, T.C. İstanbul Kültür Üniversitesi, Bakırköy/İstanbul"
Haliç University,https://univerlist.com/halic-university/,Turkey,İstanbul,https://univerlist.com/media/cache/73/64/73645ccd9a2b4f33ae69b71afe00a8a9.webp,"146,011",USD,https://univerlist.com/media/cache/88/68/8868530ecdb2d2297052ce1f323afe5f.webp,Private,16.787,1.908,Private,493.0,Yes,"15,31%",87.0,%82.92,Yes,30.0,,1182.0,76.213 ₺,"[{'program_name': 'American Culture and Literature(50%Discount)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'American Culture and Literature(scholarship)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Architecture(50%Discount)', 'language': 'Turkish', 'year': '4', 'tuition': ''}, {'program_name': 'Architecture(scholarship)', 'language': 'Turkish', 'year': '4', 'tuition': ''}, {'program_name': 'Banking and Finance', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Banking and Insurance(scholarship)', 'language': 'Turkish', 'year': '2', 'tuition': ''}, {'program_name': 'Business Administration(in English)(scholarship)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Business Administration(scholarship)', 'language': 'Turkish', 'year': '4', 'tuition': ''}]","[""Bank"", ""In-campus Transportation"", ""Clubs and Societies"", ""Security"", ""Unobstructed Campus"", ""Health Center"", ""Refectory"", ""Copy Center"", ""Dormitory"", ""Radio Studio"", ""Gym"", ""Film Studio"", ""Sport Center"", ""Online Lecture"", ""Social Activities"", ""Library"", ""Parking Garage and Parking Lot"", ""Television Studio"", ""1.000.000 E-Book Facility"", ""HI Center"", ""Accessibility to Metrobus and Metro"", ""Cafe Street"", ""Olympic Pool"", ""Auditorium Convention Center""]","Haliç Üniversitesi, Güzeltepe Mahallesi, 15 Temmuz Şehitler Caddesi, No: 14/12 34060 Eyüp/İSTANBUL"
Mef University,https://univerlist.com/mef-university/,Turkey,İstanbul,https://univerlist.com/media/cache/6d/22/6d226d738a28f75908d1f5247d1fe874.webp,"276,404",USD,https://univerlist.com/media/cache/ec/c9/ecc94e135cdc473cf9c45dc28a6d0d7b.webp,Private,4.276,31.0,Private,169.0,Yes,16%,152.0,%81.69,No,21.0,,1500.0,"2.270.891,0","[{'program_name': 'Architecture(in English)(50%Discount)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Architecture(in English)(scholarship)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Business Administration', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Business Administration(in English)(scholarship)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Civil Engineering(in English)(50%Discount)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Civil Engineering(in English)(scholarship)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Computer Engineering(in English)(50%Discount)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Computer Engineering(in English)(scholarship)', 'language': 'English', 'year': '4', 'tuition': ''}]","[""Bank"", ""Car Park"", ""Security"", ""Health Center"", ""Refectory"", ""Conference Hall"", ""Cafeteria"", ""Library""]",Mef University
İstanbul Commerce University,https://univerlist.com/istanbul-commerce-university/,Turkey,İstanbul,https://univerlist.com/media/cache/ed/a9/eda9db5ce2eab5da82b19c0a575bfdf2.webp,"475,926",TRY,https://univerlist.com/media/cache/43/f1/43f1e91ee2bf2edb8c7ee67c4e945b66.webp,Private,6.502,1.025,Private,297.0,Yes,17%,148.0,%97.91,Yes,34.0,,3643.0,2.100.703 ₺,"[{'program_name': 'Aviation Management(50%Discount)', 'language': 'Turkish', 'year': '4', 'tuition': ''}, {'program_name': 'Aviation Management(scholarship)', 'language': 'Turkish', 'year': '4', 'tuition': ''}, {'program_name': 'Business', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Business Administration(50%Discount)', 'language': 'Turkish', 'year': '4', 'tuition': ''}, {'program_name': 'Business Administration(in English)(50%Discount)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Business Administration(in English)(scholarship)', 'language': 'English', 'year': '4', 'tuition': ''}, {'program_name': 'Business Administration(scholarship)', 'language': 'Turkish', 'year': '4', 'tuition': ''}, {'program_name': 'Computer Engineering(50%Discount)', 'language': 'Turkish', 'year': '4', 'tuition': ''}]","[""Bank"", ""Car Park"", ""Cinema"", ""Security"", ""Virtual Court"", ""Health Center"", ""Refectory"", ""Copy Center"", ""Conference Hall"", ""Film Studio"", ""Cafeteria"", ""Psychology Education Laboratory"", ""Library"", ""Computer Laboratories"", ""Applied Banking Room"", ""Communication Studio""]","Örnektepe, İstanbul Ticaret Üniversitesi, İmrahor Cd. No: 88/2, 34445 Beyoğlu/İstanbul"
Middle East Technical University,https://univerlist.com/middle-east-technical-university/,Turkey,Ankara,https://univerlist.com/media/cache/09/2e/092ea0fdf9dfb07fe47ecafdcbebdd09.webp,,USD,https://univerlist.com/media/cache/4e/7c/4e7cf35cd5e7c16f69aa1dfbe32e8942.webp,Public,29.802,1.764,Public,2.088,Yes,Public University,2.0,%98.98,Yes,14.0,93.16,,,"[{'program_name': 'Aerospace Engineering(in English)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Aerospace Engineering(in English)(50%Discount)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Aerospace Engineering(in English)(scholarship)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Architecture', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Biology', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Business Administration', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Business Administration(in English)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Business Administration(in English)(50%Discount)', 'language': 'English', 'year': '4', 'tuition': None}]","[""Amphitheatre"", ""Bank"", ""Walking Track"", ""Cargo"", ""Car Park"", ""In-campus Transportation"", ""Cinema"", ""Starbucks"", ""Clubs and Societies"", ""Security"", ""Unobstructed Campus"", ""Swimming Pool"", ""Health Center"", ""Refectory"", ""Copy Center"", ""Conference Hall"", ""Dormitory"", ""Hairdresser"", ""Gym"", ""Tennis Court"", ""Museum"", ""Dance Hall"", ""Cafeteria"", ""Bikes on Campus"", ""Guest house"", ""Stadium"", ""Library""]","Orta Doğu Teknik Üniversitesi, Üniversiteler Mahallesi, Dumlupınar Bulvarı No:1, 06800 Çankaya Ankara/TÜRKİYE"
Boğaziçi University,https://univerlist.com/bogazici-university/,Turkey,İstanbul,https://univerlist.com/media/cache/3e/48/3e48d04b36842ddbd4601731648de5eb.webp,,USD,https://univerlist.com/media/cache/12/08/120821bb9cbd5b524e3e9a009e3e9316.webp,Public,16.805,357.0,Public,984.0,Yes,Public University,10.0,%100.15,Yes,17.0,83.33,,,"[{'program_name': 'Business Administration(in English)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Chemical Engineering(in English)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Chemistry Teacher Education(in English)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Chemistry Teacher Education(in English)(citizens of Kktc)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Civil Engineering', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Computer Education and Instructional Technology(i̇n English)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Computer Engineering(in English)', 'language': 'English', 'year': '4', 'tuition': None}, {'program_name': 'Economics(in English)', 'language': 'English', 'year': '4', 'tuition': None}]","[""Bank"", ""Car Park"", ""In-campus Transportation"", ""Cinema"", ""Music Studio"", ""Security"", ""Unobstructed Campus"", ""Swimming Pool"", ""Health Center"", ""Refectory"", ""Copy Center"", ""Conference Hall"", ""Dormitory"", ""Hairdresser"", ""Radio Studio"", ""Gym"", ""Tennis Court"", ""Film Studio"", ""Dance Hall"", ""Cafeteria"", ""Bikes on Campus"", ""Guest house"", ""Library""]",Boğaziçi University
Bezmialem Vakıf University,https://univerlist.com/bezm-i-alem-foundation-university/,Turkey,İstanbul,https://univerlist.com/media/cache/bc/5a/bc5ad142760730dd02c571f62ef17bbf.webp,"142,917",USD,https://univerlist.com/media/cache/5c/2a/5c2a330a1d834fc1e0b85a2d0848b6a0.webp,Private,3.248,85.0,Private,655.0,Yes,%,25.0,%66.38,No,5.0,,1583.0,"9.906.688,0",[],"[""Bank"", ""Cargo"", ""Car Park"", ""Music Studio"", ""Security"", ""Health Center"", ""Refectory"", ""Dormitory"", ""Gym"", ""Tennis Court"", ""Cafeteria"", ""Library""]",Bezmialem Vakıf University
Jönköping University,https://univerlist.com/jonkoping-university/,Sweden,Jönköping,https://univerlist.com/media/cache/da/b6/dab60767ddf507c191e60bef8a38ea93.webp,"1,430,282",SEK,https://univerlist.com/media/cache/19/86/1986a93884a580c16ed3285f1f87b94d.webp,Private,10.992,1.96,Private,,Yes,None,,-,No,,,,,"[{'program_name': 'Digital Business', 'language': 'English', 'year': '2', 'tuition': '-'}, {'program_name': 'International Economics', 'language': 'English', 'year': '3', 'tuition': '-'}, {'program_name': 'International Management', 'language': 'English', 'year': '3', 'tuition': '-'}, {'program_name': 'Marketing Management', 'language': 'English', 'year': '3', 'tuition': '-'}, {'program_name': 'New Media Design', 'language': 'English', 'year': '3', 'tuition': '-'}, {'program_name': 'Prosthetics and Orthotics', 'language': 'English', 'year': '3', 'tuition': '-'}, {'program_name': 'Sustainable Enterprise Development', 'language': 'English', 'year': '3', 'tuition': '-'}, {'program_name': 'Sustainable Supply Chain Management', 'language': 'English', 'year': '3', 'tuition': '-'}]","[""Athletics Field"", ""Bank"", ""It Services"", ""Biomechanics Laboratory"", ""Car Park"", ""Clubs and Societies"", ""Sport and Exercise Psychology Laboratories"", ""Security"", ""Health Center"", ""Conference Hall"", ""Cafeteria"", ""Career Office"", ""Student Central"", ""Alumni Clubs"", ""Information Center"", ""Social Activities"", ""Library""]","Gjuterigatan 5Box 1026551 11 Jönköping, Sweden"
