CourseID,ProviderID,CourseName,Accreditation,AccrediationDate,AccreditationStatusDate,AccreditationStatus,Years,LOTE
CRS1200011,PRV14102,Bachelor of Psychology (Hons),Inactive,1/02/2017,1/02/2024,Expired,Not Applicable,No
CRS1200012,PRV14102,Bachelor of Psychological Science (Hons),Active,1/02/2017,1/02/2024,Pending Renewal,7 years - maximum allowable period,No
CRS1200013,PRV12200,Bachelor of Photography and Digital Imaging (formerly Bachelor of Photography),Active,23/06/2017,23/06/2027,Accredited,7 years - maximum allowable period and extended for a further 3 years,No
CRS1200014,PRV12129,Graduate Diploma of Construction Management and Economics,Inactive,5/01/2012,31/12/2018,Expired,Not Applicable,No
CRS1200015,PRV12129,Graduate Diploma of Building Surveying,Inactive,5/01/2012,31/12/2018,Expired,Not Applicable,No
CRS1200016,PRV12129,Graduate Diploma of Facilities Management,Inactive,5/01/2012,1/01/2017,Expired,Not Applicable,No
CRS1200017,PRV12138,Bachelor of Engineering Technology (Telecommunications),Active,11/06/2025,11/06/2032,Accredited,7 years - maximum allowable period,No
CRS1200018,PRV12138,Graduate Diploma of Engineering (Telecommunications),Inactive,23/12/2011,28/12/2016,Expired,Not Applicable,No
CRS1200019,PRV12138,Master of Engineering (Telecommunications),Active,11/06/2025,11/06/2032,Accredited,7 years - maximum allowable period,No
CRS1200020,PRV12186,Diploma of Media and Communication (previously Diploma of Mass Media and Communication),Active,12/02/2024,12/02/2031,Accredited,7 years - maximum allowable period,No
CRS1200021,PRV12186,Diploma of Bioscience,Active,12/02/2024,12/02/2031,Accredited,7 years - maximum allowable period,No
CRS1200022,PRV12186,Diploma of Health Sciences,Active,12/02/2024,12/02/2031,Accredited,7 years - maximum allowable period,No
CRS1200023,PRV12202,Diploma of Business (formerly Diploma of Management),Inactive,10/01/2012,31/12/2014,Expired,Not Applicable,No
CRS1200024,PRV12078,Diploma of Health Care,Active,11/07/2016,31/12/2025,Accredited,7 years - maximum allowable period and extended for a further 30 months,No
CRS1200025,PRV12078,Diploma of Health Sciences,Active,13/07/2016,31/12/2025,Accredited,7 years - maximum allowable period and extended for a further 30 months,No
CRS1200026,PRV12078,Diploma of Media and Communication,Inactive,30/06/2016,30/06/2023,Expired,Not Applicable,No
CRS1200027,PRV12074,Graduate Certificate of Social Science,Inactive,29/01/2012,31/12/2016,Expired,Not Applicable,No
CRS1200028,PRV12074,Graduate Diploma of Social Science,Inactive,29/01/2012,31/12/2016,Expired,Not Applicable,No
CRS1200029,PRV12074,Master of Social Science,Inactive,28/11/2016,31/12/2018,Expired,Not Applicable,No
CRS1200033,PRV12167,Diploma of Network Technology,Inactive,29/01/2012,11/04/2016,Withdrawn,Not Applicable,No
CRS1200034,PRV12167,Diploma of Programming (Applications),Inactive,29/01/2012,11/04/2016,Withdrawn,Not Applicable,No
CRS1200035,PRV12167,Associate Degree of Fashion Business,Inactive,29/01/2012,11/04/2016,Withdrawn,Not Applicable,No
CRS1200036,PRV12167,Associate Degree of Software Development (Mobile Applications),Inactive,29/01/2012,11/04/2016,Withdrawn,Not Applicable,No
CRS1200042,PRV12016,Bachelor of Business (International Event Management),Inactive,29/08/2013,27/10/2017,Withdrawn,Not Applicable,No
CRS1200043,PRV12016,Diploma of Business (International Event Management),Inactive,29/08/2013,29/09/2016,Withdrawn,Not Applicable,No
CRS1200044,PRV12016,Associate Degree of Business (International Hotel and Resort Management),Inactive,29/08/2013,27/10/2017,Withdrawn,Not Applicable,No
CRS1200045,PRV12016,Bachelor of Business (International Hotel and Resort Management),Inactive,29/08/2013,27/10/2017,Withdrawn,Not Applicable,No
CRS1200046,PRV12016,Associate Degree of Business (International Hotel Management),Inactive,8/09/2008,7/09/2013,Withdrawn,Not Applicable,No
CRS1200047,PRV12016,Bachelor of Business (International Hotel Management),Inactive,8/09/2008,7/09/2013,Withdrawn,Not Applicable,No
CRS1200048,PRV12016,Diploma of Business (International Hotel Management),Inactive,8/09/2008,7/09/2013,Withdrawn,Not Applicable,No
CRS1200052,PRV12004,Bachelor of Design (Fashion Design),Inactive,13/02/2015,6/03/2017,Withdrawn,Not Applicable,No
CRS1200053,PRV12004,Bachelor of Forensic Science (Crime Scene Examination),Active,28/11/2013,31/12/2026,Course in teach out,7 years - maximum allowable period and extended for a further 74 months,No
CRS1200054,PRV12004,Bachelor of Photography,Inactive,1/01/2004,31/12/2014,Expired,Not Applicable,No
CRS1200055,PRV12004,Bachelor of Games and Virtual Worlds (Programming),Inactive,28/11/2013,28/11/2023,Expired,Not Applicable,No
CRS1200056,PRV12024,Graduate Diploma of Chartered Accounting,Inactive,24/01/2014,24/01/2023,Expired,Not Applicable,No
CRS1200059,PRV12005,Associate Degree of Interactive Media,Inactive,17/11/2022,11/03/2025,Expired,Not Applicable,No
CRS1200060,PRV12005,Bachelor of Interactive Media,Inactive,17/11/2022,11/03/2025,Expired,Not Applicable,No
CRS1200064,PRV12066,Associate Degree of Sport Business ((formerly Associate Degree of Sports Business),Active,24/02/2023,24/02/2030,Accredited,7 years - maximum allowable period,No
CRS1200067,PRV12066,Bachelor of Sport Business (Leadership) (formerly Bachelor of Sports Business (Leadership)),Active,24/02/2023,24/02/2030,Accredited,7 years - maximum allowable period,No
CRS1200068,PRV12066,Associate Degree of Sports Coaching and Administration,Inactive,15/09/2006,14/09/2016,Expired,Not Applicable,No
CRS1200069,PRV12066,Bachelor of Sports Coaching and Administration,Inactive,15/03/2017,15/03/2019,Expired,Not Applicable,No
CRS1200070,PRV12066,Bachelor of Dance Education,Active,26/09/2024,26/09/2031,Accredited,7 years - maximum allowable period,No
CRS1200071,PRV12066,Bachelor of Applied Fitness,Inactive,26/07/2022,1/10/2024,Expired,Not Applicable,No
CRS1200072,PRV12066,Associate Degree of Applied Fitness,Inactive,26/07/2022,1/10/2024,Expired,Not Applicable,No
CRS1200073,PRV12066,Bachelor of Health and Movement (formerly Bachelor of Health and Movement (Sport)),Active,25/08/2023,17/01/2026,Course in teach out,2 years and 5 months,No
CRS1200074,PRV12066,Graduate Diploma of Education,Inactive,31/03/2016,31/03/2018,Expired,Not Applicable,No
CRS1200075,PRV12066,Graduate Diploma of Sports Administration,Inactive,19/09/2022,15/10/2024,Expired,Not Applicable,No
CRS1200076,PRV12066,Graduate Certificate in Sports Administration,Inactive,19/09/2022,15/10/2024,Expired,Not Applicable,No
CRS1200077,PRV12066,Graduate Diploma of Athletic Performance,Inactive,21/05/2010,20/05/2015,Expired,Not Applicable,No
CRS1200078,PRV12066,Graduate Certificate in Athletic Performance,Inactive,21/05/2010,20/05/2015,Expired,Not Applicable,No
CRS1200079,PRV12066,Bachelor of Applied Dance,Inactive,13/03/2017,13/03/2019,Expired,Not Applicable,No
CRS1200080,PRV12066,Associate Degree of Applied Dance,Inactive,17/10/2011,16/10/2016,Expired,Not Applicable,No
CRS1200082,PRV12006,Bachelor of Ministry (formerly Bachelor of Contemporary Ministry),Inactive,8/08/2013,8/08/2020,Expired,Not Applicable,No
CRS1200083,PRV12006,Master of Teaching (Primary),Inactive,11/09/2014,11/09/2021,Expired,Not Applicable,No
CRS1200084,PRV12006,Graduate Diploma of Education (Primary),Inactive,28/01/2015,31/12/2016,Expired,Not Applicable,No
CRS1200085,PRV12006,Graduate Certificate in Christian Leadership,Inactive,12/03/2015,31/03/2017,Expired,Not Applicable,No
CRS1200086,PRV12006,Master of Arts (Christian Studies),Inactive,12/03/2015,31/03/2017,Expired,Not Applicable,English and Korean
CRS1200087,PRV12006,Bachelor of Applied Theology (Korean),Inactive,5/05/2011,4/05/2016,Expired,Not Applicable,Korean
CRS1200088,PRV12007,Graduate Certificate in Project Management,Active,21/10/2024,21/10/2031,Accredited,7 years - maximum allowable period,No
CRS1200089,PRV12007,Graduate Diploma of Project Management,Active,21/10/2024,21/10/2031,Accredited,7 years - maximum allowable period,No
CRS1200090,PRV12007,Master of Project Management and Business (formerly Master of Business and Project Management),Active,21/10/2024,21/10/2031,Accredited,7 years - maximum allowable period,No
CRS1200091,PRV12007,Not renewed - Graduate Certificate in Business Management,Inactive,N/A,N/A,Renewal Rejected,Not Applicable,No
CRS1200092,PRV12007,Not renewed - Graduate Diploma of Business Management,Inactive,N/A,N/A,Renewal Rejected,Not Applicable,No
CRS1200093,PRV12007,Not renewed - Master of Business Management,Inactive,N/A,N/A,Renewal Rejected,Not Applicable,No
CRS1200095,PRV12009,Graduate Diploma of Applied Social Science,Inactive,5/09/2013,31/12/2015,Expired,Not Applicable,No
CRS1200096,PRV12009,Graduate Diploma of Applied Social Science (Management),Inactive,5/09/2013,31/12/2015,Expired,Not Applicable,No
CRS1200097,PRV12009,Master of Applied Social Science,Inactive,5/09/2013,31/12/2015,Expired,Not Applicable,No
CRS1200098,PRV12009,Master of Applied Social Science (Management),Inactive,5/09/2013,31/12/2015,Expired,Not Applicable,No
CRS1200099,PRV12009,Master of Applied Social Science (Counselling),Inactive,5/09/2013,31/12/2015,Expired,Not Applicable,No
CRS1200100,PRV12009,Associate Degree of Applied Social Science,Inactive,16/06/2014,16/06/2021,Expired,Not Applicable,No
CRS1200101,PRV12009,Bachelor of Counselling (formerly Bachelor of Applied Social Science (Counselling)),Inactive,16/06/2014,16/06/2021,Expired,Not Applicable,No
CRS1200102,PRV12009,Bachelor of Applied Social Science (Management),Inactive,16/06/2014,31/12/2015,Expired,Not Applicable,No
