ProviderID,ProviderName,ProviderTradingName,ABN,Category,Address,Website,RegistrationStatus,RegistrationDescription,RegistrationRenewalDate,Years,SelfAccreditation,CRICOS Registration,CRICOS Web,ASQALink,QILT
PRV12002,Australian National University, The Australian National University,52 234 063 906,Australian University,"Building 10 Chancelry, ACTON ACT 2601",http://www.anu.edu.au,Active,Registered,13/12/2030,7 years - maximum allowable period,Yes, 00120C, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00120C,,https://www.compared.edu.au/institution/the-australian-national-university
PRV12003,University of Canberra, University of Canberra,81 633 873 422,Australian University,"University Drive, BRUCE ACT 2617",http://www.canberra.edu.au,Active,Ongoing pending renewal,17/09/2025,7 years - maximum allowable period and extended for a further 3 years,Yes, 00212K, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00212K,,https://www.compared.edu.au/institution/university-of-canberra
PRV12004,Canberra Institute of Technology, Canberra Institute of Technology,43 273 796 990,Institute of Higher Education,"36 Bradley Street, Phillip ACT 2606",http://www.cit.edu.au,Active,Registered,31/12/2026,7 years - maximum allowable period and extended for a further 74 months,No, 00001K, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00001K,http://training.gov.au/Organisation/Details/0101 ,https://www.compared.edu.au/institution/canberra-institute-of-technology
PRV12005,Academy of Interactive Technology Pty Ltd (formerly Academy of Information Technology Pty Ltd)," Academy of Interactive Technology Pty Ltd, Coder Academy Australia",35 094 133 641,Institute of Higher Education,"Level 2, 7 Kelly Street, ULTIMO NSW 2007",http://www.ait.nsw.edu.au,Active,Registered,8/07/2032,7 years - maximum allowable period,No, 02155J, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02155J,http://training.gov.au/Organisation/Details/90511 ,https://www.compared.edu.au/institution/academy-of-information-technology
PRV12006,Alphacrucis University College Ltd," Alphacrucis University College, Alphacrucis College",13 072 747 187,University College,"30 Cowper Street, PARRAMATTA NSW 2150",http://www.ac.edu.au,Active,Registered,26/05/2028,7 years - maximum allowable period,Yes, 00958A, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00958A,http://training.gov.au/Organisation/Details/90525 ,https://www.compared.edu.au/institution/alphacrucis-college
PRV12007,Asia Pacific International College Pty Ltd, Asia Pacific International College,48 061 101 488,Institute of Higher Education,"Level 10, 160 Sussex Street Sydney NSW 2000",http://www.apicollege.edu.au,Active,Registered,5/03/2032,7 years and 1 months,No, 03048D, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03048D,,https://www.compared.edu.au/institution/asia-pacific-international-college
PRV12008,Australian Catholic University Limited, Australian Catholic University,15 050 192 660,Australian University,"40 Edward Street, NORTH SYDNEY NSW 2060",http://www.acu.edu.au,Active,Ongoing pending renewal,30/07/2025,7 years - maximum allowable period and extended for a further 3 years,Yes, 00004G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00004G,,https://www.compared.edu.au/institution/australian-catholic-university
PRV12009,ACAP University College Pty Ltd (formerly Navitas Professional Institute Pty Ltd)," Australian College of Applied Professions, ACAP University College, Australian College of Applied Psychology",94 057 495 299,University College,"Level 11, 255 Elizabeth Street, SYDNEY NSW 2000",http://www.acap.edu.au,Active,Registered,17/07/2031,7 years - maximum allowable period,Yes (Partial), 01328A, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=01328A,http://training.gov.au/Organisation/Details/0500 ,https://www.compared.edu.au/institution/acap
PRV12010,Australian University of Theology Limited, Australian University of Theology,88 869 962 393,Australian University,"Level 5, 33 York Street, SYDNEY NSW 2000",https://aut.edu.au/,Active,Registered,14/08/2031,7 years - maximum allowable period,Yes (Partial), 02650E, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02650E,,https://www.compared.edu.au/institution/australian-college-of-theology
PRV12011,"Australian Film, Television and Radio School", Australian Film Television and Radio School,19 892 732 021,University College,"Building 130 The Entertainment Quarter, MOORE PARK NSW 2021",http://www.aftrs.edu.au,Active,Registered,13/09/2030,7 years - maximum allowable period,Yes, 03662D, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03662D,,
PRV12012,Australian Institute of Business and Management Pty Ltd, King's Own Institute,72 132 629 979,Institute of Higher Education,"Level 1, St Martins Tower, 31 Market Street, SYDNEY NSW 2000",http://www.koi.edu.au,Active,Registered,22/05/2031,7 years - maximum allowable period,No, 03171A, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03171A,,https://www.compared.edu.au/institution/kings-own-institute
PRV12013,Australian Institute of Higher Education Pty Ltd, AIH Higher Education,70 117 349 256,Institute of Higher Education,"Level 3 & 4, 545 Kent Street, SYDNEY NSW 2000",https://aih.edu.au/,Active,Registered,30/01/2030,7 years - maximum allowable period,No, 03147A, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03147A,,https://www.compared.edu.au/institution/australian-institute-of-higher-education
PRV12014,Commissioner of the Australian Federal Police, Australian Institute of Police Management,17 864 931 143,Institute of Higher Education,"PO Box 168, MANLY NSW 1655",http://www.aipm.gov.au,Active,Ongoing pending renewal,6/11/2024,7 years - maximum allowable period and extended for a further 3 years,No,,,http://training.gov.au/Organisation/Details/1056 ,
PRV12015,Avondale University Limited (formerly Avondale University College Limited), Avondale University,53 108 186 401,Australian University,"582 Freemans Drive, COORANBONG NSW 2265",http://www.avondale.edu.au,Active,Registered,2/04/2032,7 years - maximum allowable period,Yes, 02731D, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02731D,http://training.gov.au/Organisation/Details/91191 ,https://www.compared.edu.au/institution/avondale-university-college
PRV12016,Blue Mountains International Hotel Management School Pty Limited," Blue Mountains International Hotel Management School, Blue Mountains International Management School",91 004 004 317,Higher Education Provider,"Level 4, 540 George Street, SYDNEY NSW 2000",http://www.bluemountains.edu.au,Inactive,Withdrawn,27/10/2017,Not Applicable,No,,,,
PRV12017,Campion Institute Limited, Campion College Australia,41 096 681 140,Institute of Higher Education,"8-14 Austin Woodbury Place, OLD TOONGABBIE NSW 2146",http://www.campion.edu.au,Active,Ongoing pending renewal,11/06/2025,7 years - maximum allowable period and extended for a further 3 years,No, 02738G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02738G,,https://www.compared.edu.au/institution/campion-college-australia
PRV12018,Charles Sturt University, Charles Sturt University,83 878 708 551,Australian University,"The Grange, BATHURST NSW 2795",http://www.csu.edu.au,Active,Registered,20/03/2031,7 years - maximum allowable period,Yes, 00005F, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00005F,,https://www.compared.edu.au/institution/charles-sturt-university
PRV12019,Governance Institute of Australia Ltd (formerly Chartered Secretaries Australia Ltd)," Governance Institute of Australia, Chartered Secretaries Australia Ltd",49 008 615 950,Institute of Higher Education,"Level 11, 10 Carrington Street, SYDNEY NSW 2000",http://www.governanceinstitute.com.au,Active,Registered,10/06/2032,7 years - maximum allowable period,No,,,,https://www.compared.edu.au/institution/governance-institute-of-australia
PRV12020,The College of Nursing,,43 000 106 829,Higher Education Provider,"14 Railway Parade, BURWOOD NSW 2134",http://www.nursing.edu.au,Inactive,Withdrawn,15/08/2014,Not Applicable,No,,,,
PRV12021,Group Colleges Australia Pty Ltd," Universal Business School Brisbane, Universal Business School Adelaide, Universal Business School Sydney (UBSS), Group Colleges Australia",11 085 429 732,Institute of Higher Education,"Level 10, 233 Castlereagh Street, SYDNEY NSW 2000",https://www.ubss.edu.au,Active,Ongoing pending renewal,30/06/2025,4 years,No, 02571D, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02571D,,https://www.compared.edu.au/institution/universal-business-school-sydney
PRV12022,UTS College Ltd (formerly Insearch Limited)," UTS College, INSEARCH Limited",39 001 425 065,Institute of Higher Education,"Level 13, UTS Building 10 (CB10), 235 Jones Street Broadway NSW 2007",https://utscollege.edu.au,Active,Registered,9/04/2032,7 years - maximum allowable period,No, 00859D, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00859D,,https://www.compared.edu.au/institution/insearch
PRV12023,CG Spectrum Institute Pty Ltd (formerly Banksia Institute Australia Pty Ltd)," Institute for Emotion Focused Therapy, Banksia Institute Australia",18 085 501 837,Institute of Higher Education,"Level 1, 580 Church Street, Richmond VIC 3121",https://cgspectrum.institute/,Active,Ongoing pending renewal,12/06/2024,7 years - maximum allowable period and extended for a further 3 years,No,,,,
PRV12024,Chartered Accountants Australia and New Zealand (formerly The Institute of Chartered Accountants in Australia)," Chartered Accountants Australia and New Zealand, Institute of Chartered Accountants in Australia",50 084 642 571,Institute of Higher Education,"33 Erskine Street, SYDNEY NSW 2000",https://www.charteredaccountantsanz.com/,Active,Registered,8/05/2031,7 years - maximum allowable period,No,,,,
PRV12025,"International College of Management, Sydney Pty. Limited"," Aspire Institute, International College of Management, Sydney, Aspire English, International Sport College of Australia",54 174 259 919,Institute of Higher Education,"151 Darley Road, MANLY NSW 2095",http://www.icms.edu.au,Active,Registered,18/03/2027,7 years - maximum allowable period,Yes (Partial), 01484M, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=01484M,,https://www.compared.edu.au/institution/international-college-of-management-sydney
PRV12026,Australian Academy of Music and Performing Arts (formerly International Conservatorium of Music (Aust)), Academy of Music and Performing Arts,16 085 028 351,Institute of Higher Education,"136 Chalmers Street, Surry Hills NSW 2010",http://www.ampa.edu.au,Active,Registered,28/08/2031,7 years - maximum allowable period,No, 01108B, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=01108B,,https://www.compared.edu.au/institution/australian-academy-of-music-and-performing-arts
PRV12027,UOWC Ltd (formerly ITC Education Ltd), UOW College Australia,14 105 312 329,Institute of Higher Education,"Building 30, UOW, Northfields Avenue, GWYNNEVILLE NSW 2522",http://www.uowcollege.edu.au,Active,Registered,9/04/2032,7 years - maximum allowable period,No, 02723D, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02723D,http://training.gov.au/Organisation/Details/91159 ,https://www.compared.edu.au/institution/uow-college
PRV12028,Jansen Newman Institute Pty. Limited," Jansen Newman Institute, Jansen Newman Institute of Counselling and Applied Psychotherapy",94 002 943 759,Higher Education Provider,"Levels 1 and 2, 575 Pacific Highway, ST LEONARDS NSW 2065",http://www.jni.edu.au,Inactive,Expired,1/07/2013,Not Applicable,No,,,,
PRV12029,JMC Pty. Limited, JMC Academy,53 003 572 012,Institute of Higher Education,"561 Harris Street, ULTIMO NSW 2007",http://www.jmcacademy.edu.au,Active,Ongoing pending renewal,10/02/2025,4 years,No, 01259J, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=01259J,http://training.gov.au/Organisation/Details/90446 ,https://www.compared.edu.au/institution/the-jmc-academy
PRV12030,Kaplan Higher Education Pty Ltd," MURDOCH LANGUAGE INSTITUTE, MURDOCH INSTITUTE OF TECHNOLOGY, KAPLAN HE, Murdoch College, KAPLAN HIGHER EDUCATION, KAPLAN INTERNATIONAL PATHWAYS, Kaplan Higher Education, University of Adelaide College, Kaplan Professional",85 124 217 670,Institute of Higher Education,"Level 12, 45 Clarence Street, SYDNEY NSW 2000",http://www.kaplan.edu.au/,Active,Registered,28/10/2027,7 years - maximum allowable period,No, 03127E, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03127E,,https://www.compared.edu.au/institution/kaplan-higher-education-pty-ltd
PRV12031,Whitecliffe Institute of Creative Arts and Technology Pty Ltd," The Fashion Institute, Whitecliffe Institute of Creative Arts and Technology, Whitecliffe",62 003 925 282,Institute of Higher Education,"55 Regent St, Chippendale NSW 2008",http://www.macleay.edu.au,Active,Ongoing pending renewal,16/03/2024,4 years and extended for a further 3 years,No, 00899G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00899G,,https://www.compared.edu.au/institution/macleay-college
PRV12032,Macquarie University, Macquarie University,90 952 801 237,Australian University,"Balaclava Road, NORTH RYDE NSW 2109",http://www.mq.edu.au,Active,Registered,24/04/2031,7 years - maximum allowable period,Yes, 00002J, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00002J,,https://www.compared.edu.au/institution/macquarie-university
PRV12033,Moore Theological College Council," Moore College, Moore Theological College",47 746 452 183,University College,"1 King Street, NEWTOWN NSW 2042",http://www.moore.edu.au,Active,Registered,1/07/2028,7 years - maximum allowable period and extended for a further 50 months,Yes, 00682B, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00682B,,https://www.compared.edu.au/institution/moore-theological-college
