web_pages,state-province,domains,country,name,alpha_two_code
['https://www.eit.edu.au/'],,['student.eit.edu.au'],Australia,Engineering Institute of Technology,AU
['https://nusaputra.ac.id'],,['nusaputra.ac.id'],Indonesia,Universitas Nusa Putra,ID
['https://kyrenia.edu.tr'],,"['std.kyrenia.edu.tr', 'kyrenia.edu.tr']",Turkey,University of Kyrenia,TR
['https://regent.edu.gh'],,['regent.edu.gh'],Ghana,Regent University College of Science and Technology,GH
['https://wab.edu.pl'],,"['student.wab.edu.pl', 'wab.edu.pl']",Poland,Wroclaw Akademia Biznesu,PL
['https://atharvacoe.ac.in'],Mumbai,['atharvacoe.ac.in'],India,Atharva College of Engineering,IN
['https://tbs.edu'],Ontario,['tbs.edu'],Canada,Toronto Baptist Seminary and Bible College,CA
['https://unochapeco.edu.br'],,['unochapeco.edu.br'],Brazil,Universidade Comunitária da Região de Chapecó - Unochapecó,BR
['https://westherts.ac.uk'],,"['student.westherts.ac.uk', 'westherts.ac.uk']",United Kingdom,West Herts College,GB
['http://bpitindia.ac.in'],Delhi,"['bpitindia.edu.in', 'bpitindia.in']",India,Bhagwan Parshuram Institute of Technology,IN
['https://insa-toulouse.fr'],,['insa-toulouse.fr'],France,National Institute of Applied Sciences of Toulouse,FR
['https://bugemauniv.ac.ug/'],Luweero,['bugemauniv.ac.ug'],Uganda,Bugema University,UG
['https://mbzuai.ac.ae/'],Abu Dhabi,['mbzuai.ac.ae'],United Arab Emirates,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),AE
['https://www.uniceub.br'],,"['sempreceub.com', 'uniceub.br']",Brazil,"Centro Universitário de Brasília, UNICEUB",BR
"['https://karazin.ua', 'http://www.univer.kharkov.ua/']",,"['student.karazin.ua', 'karazin.ua', 'univer.kharkov.ua']",Ukraine,Kharkiv National University,UA
['https://usm.cl'],,['usm.cl'],Chile,Universidad Técnica Federico Santa María,CL
['https://ieseg.fr'],,['ieseg.fr'],France,IÉSEG School of Management,FR
['https://sysu.edu.cn'],,"['mail2.sysu.edu.cn', 'mail.sysu.edu.cn']",China,Sun Yat-Sen University,CN
['https://rhul.ac.uk'],,['rhul.ac.uk'],United Kingdom,Royal Holloway University of London,GB
"['https://www.hnu.edu.cn', 'http://www-en.hnu.edu.cn']",,"['hnu.edu.cn', 'www-en.hnu.edu.cn']",China,Hunan University,CN
"['http://www.port.ac.uk/', 'https://myport.port.ac.uk']",,"['port.ac.uk', 'myport.ac.uk', 'myport.port.ac.uk']",United Kingdom,University of Portsmouth,GB
['https://www.centralesupelec.fr/'],,['centralesupelec.fr'],France,Central Supélec,FR
['https://www.ac-paris.fr/'],,['ac-paris.fr'],France,Académie de Paris,FR
['https://www.ac-aix-marseille.fr/'],,['ac-aix-marseille.fr'],France,Académie d'Aix-Marseille,FR
['https://www.ac-creteil.fr/'],,['ac-creteil.fr'],France,Académie de Créteil,FR
['http://www.marywood.edu'],,['marywood.edu'],United States,Marywood University,US
['https://www.upes.ac.in/'],Dehradun,['upes.ac.in'],India,University of Petroleum and Energy Studies,IN
['https://www.ashoka.edu.in'],Haryana,['ashoka.edu.in'],India,Ashoka University,IN
['https://www.iiits.ac.in/'],Chittoor,['iiits.in'],India,Indian Institute of Information Technology Sri City,IN
"['https://www.cstj.qc.ca', 'https://ccmt.cstj.qc.ca', 'https://ccml.cstj.qc.ca']",Quebec,['cstj.qc.ca'],Canada,Cégep de Saint-Jérôme,CA
['http://www.lindenwood.edu/'],,['lindenwood.edu'],United States,Lindenwood University,US
['http://www.davietjal.org/'],Punjab,['davietjal.org'],India,DAV Institute of Engineering & Technology,IN
['http://www.lpu.in/'],Punjab,['lpu.in'],India,Lovely Professional University,IN
['https://sullivan.edu/'],,['sullivan.edu'],United States,Sullivan University,US
['https://www.fscj.edu/'],,['fscj.edu'],United States,Florida State College at Jacksonville,US
['https://www.xavier.edu/'],,['xavier.edu'],United States,Xavier University,US
['https://home.tusculum.edu/'],,['tusculum.edu'],United States,Tusculum College,US
['https://cst.edu/'],,['cst.edu'],United States,Claremont School of Theology,US
['https://somaiya.edu/'],,['somaiya.edu'],India,Somaiya Vidyavihar,IN
['https://www.columbiasc.edu/'],,['columbiasc.edu'],United States,Columbia College (SC),US
['http://www.clpccd.edu/'],,['clpccd.edu'],United States,Chabot-Las Positas Community College District,US
['https://www.keller.edu/'],,['keller.edu'],United States,Keller Graduate School of Management,US
['https://monroecollege.edu/'],,['monroecollege.edu'],United States,Monroe College,US
['https://smccd.edu/'],,['smccd.edu'],United States,San Mateo County Community College District,US
['http://losrios.edu/'],,['losrios.edu'],United States,Los Rios Community College District,US
['https://www.digipen.edu/'],,['digipen.edu'],United States,DigiPen Institute of Technology,US
['https://www.upmc.com/'],Pennsylvania,"['upmc.edu', 'upmc.com']",United States,University of Pittsburgh Medical Center,US
['https://www.cgu.edu/'],,['cgu.edu'],United States,Claremont Graduate University,US
['https://www.utrgv.edu/'],Texas,['utrgv.edu'],United States,The University of Texas at Rio Grande Valley,US
['https://mountsaintvincent.edu/'],,['mountsaintvincent.edu'],United States,College of Mount Saint Vincent,US
['https://www.uasys.edu/'],,['uasys.edu'],United States,University of Arkansas System eVersity,US
['https://www.ecpi.edu/'],,['ecpi.edu'],United States,ECPI University,US
['https://www.umw.edu/'],,['umw.edu'],United States,University of Mary Washington,US
['https://www.bw.edu/'],,['bw.edu'],United States,Baldwin Wallace University,US
['https://www.csuci.edu/'],,['csuci.edu'],United States,California State University Channel Islands,US
['https://www.brandman.edu/'],,['brandman.edu'],United States,Brandman University,US
